dummy,climateID,weatherID,jday,date,hour,Srad,wind,RH,rain,tmax,tmin,temperature,CO2
PF,PF_NE2022,PF_NE2022,93,4/3/2022,21,0,,,0,,,7.64,
PF,PF_NE2022,PF_NE2022,93,4/3/2022,22,0,,,0,,,7.14,
PF,PF_NE2022,PF_NE2022,93,4/3/2022,23,0,,,0,,,6.64004,
PF,PF_NE2022,PF_NE2022,94,4/4/2022,0,0,,,0,,,6.14,
PF,PF_NE2022,PF_NE2022,94,4/4/2022,1,0,,,0,,,5.83,
PF,PF_NE2022,PF_NE2022,94,4/4/2022,2,0,,,0,,,5.52,
PF,PF_NE2022,PF_NE2022,94,4/4/2022,3,0,,,0,,,5.22,
PF,PF_NE2022,PF_NE2022,94,4/4/2022,4,0,,,0,,,4.68,
PF,PF_NE2022,PF_NE2022,94,4/4/2022,5,0,,,0,,,4.15,
PF,PF_NE2022,PF_NE2022,94,4/4/2022,6,0,,,0,,,3.62004,
PF,PF_NE2022,PF_NE2022,94,4/4/2022,7,0.3218112,,,0,,,5.17,
PF,PF_NE2022,PF_NE2022,94,4/4/2022,8,0.929088,,,0,,,6.72,
PF,PF_NE2022,PF_NE2022,94,4/4/2022,9,1.4565924,,,0,,,8.26,
PF,PF_NE2022,PF_NE2022,94,4/4/2022,10,2.0251944,,,0,,,10.74,
PF,PF_NE2022,PF_NE2022,94,4/4/2022,11,2.514582,,,0,,,13.22,
PF,PF_NE2022,PF_NE2022,94,4/4/2022,12,2.8407888,,,0,,,15.7,
PF,PF_NE2022,PF_NE2022,94,4/4/2022,13,2.8278036,,,0,,,16.92,
PF,PF_NE2022,PF_NE2022,94,4/4/2022,14,2.6966268,,,0,,,18.15,
PF,PF_NE2022,PF_NE2022,94,4/4/2022,15,2.44269,,,0,,,19.37,
PF,PF_NE2022,PF_NE2022,94,4/4/2022,16,1.92024,,,0,,,18.84,
PF,PF_NE2022,PF_NE2022,94,4/4/2022,17,1.28016,,,0,,,18.31,
PF,PF_NE2022,PF_NE2022,94,4/4/2022,18,0.487152,,,0,,,17.78,
PF,PF_NE2022,PF_NE2022,94,4/4/2022,19,0.0549216,,,0,,,16.1,
PF,PF_NE2022,PF_NE2022,94,4/4/2022,20,0,,,0,,,14.42,
PF,PF_NE2022,PF_NE2022,94,4/4/2022,21,0,,,0,,,12.74,
PF,PF_NE2022,PF_NE2022,94,4/4/2022,22,0,,,0,,,12.34,
